time(ms),x_accel,y_accel,z_accel
0,-0.02858,-0.995651,-0.074661
29.542,0.005875,-0.961502,-0.164291
59.087,-0.008652,-0.969009,-0.146347
88.632,0.015137,-0.986481,-0.141998
118.176,-0.011948,-0.979507,-0.147125
147.72,-0.016769,-0.974197,-0.182587
177.259,-0.004715,-0.981644,-0.149551
206.808,-0.003021,-0.983719,-0.12471
236.35,0.012207,-0.98175,-0.123077
265.894,0.010452,-0.982544,-0.11026
295.437,0.021942,-0.982178,-0.122314
324.981,0.05191,-0.988632,-0.102905
354.522,-0.033737,-0.979248,-0.139069
384.073,-0.040283,-0.983063,-0.113876
413.618,-0.052826,-0.987091,-0.085526
443.166,-0.000244,-0.946121,-0.141541
472.71,0.086624,-1.038483,-0.17955
502.255,-0.092636,-0.952866,-0.088181
531.795,-0.020645,-0.975815,-0.109787
561.345,-0.001038,-0.978287,-0.06813
590.891,0.043793,-0.994202,-0.066986
620.434,0.056396,-1.004593,0.020538
649.979,0.043198,-1.009827,-0.03244
679.525,0.125778,-1.003036,0.0327
709.059,0.137161,-1.017822,-0.079544
738.615,0.050507,-0.993057,-0.095459
768.162,-0.097549,-0.95108,-0.074921
797.706,-0.112839,-0.970581,-0.13176
827.252,-0.062912,-0.955963,-0.105377
856.799,-0.028671,-0.997513,-0.138275
886.335,-0.039902,-0.94751,-0.210281
915.891,-0.010773,-1.021027,-0.142685
945.436,-0.016052,-0.976303,-0.077042
974.982,-0.064209,-0.966614,-0.086243
1004.529,0.042191,-1.007446,-0.096298
1034.076,0.024017,-0.946487,-0.049255
1063.626,0.053268,-0.992737,-0.064285
1093.175,0.039734,-0.986618,-0.096115
1122.724,-0.027191,-0.987396,-0.032562
1152.265,0.038025,-0.998245,-0.054382
1181.814,0.055496,-0.982605,-0.094803
1211.362,0.024185,-1.007248,-0.042343
1240.912,-0.060745,-0.951508,-0.128555
1270.457,-0.043396,-0.980972,-0.089554
1300.006,-0.073441,-0.96962,-0.092468
1329.553,-0.100754,-0.949615,-0.123871
1359.102,-0.123169,-1.011703,-0.045898
1388.649,-0.098511,-0.951584,-0.007629
1418.197,0.035309,-0.968445,-0.002457
1447.742,-0.027908,-1.024811,0.076019
1477.288,0.095825,-0.979218,0.020996
1506.833,0.129684,-1.053299,0.093948
1536.383,0.01825,-0.966873,0.028015
1565.927,0.003876,-1.031891,0.041107
1595.474,-0.064056,-0.983765,0.017227
1625.017,-0.076797,-0.988007,0.018753
1654.562,-0.029312,-1.000946,0.019333
1684.11,0.003372,-0.97345,0.040054
1713.653,-0.102844,-1.047897,0.051178
1743.194,-0.089172,-0.971939,0.04718
1772.745,0.021255,-0.98259,-0.014664
1802.292,-0.031586,-0.99147,0.009567
1831.837,-0.116745,-1.027359,0.074707
1861.382,0.005936,-1.055008,0.093857
1890.929,0.174438,-0.986099,0.108414
1920.449,0.105667,-0.943848,-0.037628
1950.013,-0.022888,-1.151093,-0.228455
1979.554,-0.121582,-1.070358,-0.096909
2009.097,0.163254,-0.850708,0.487259
2038.644,0.7164,-0.920044,0.420807
2068.188,1.085419,-1.01152,0.592667
2097.73,0.479645,-0.949234,0.851669
2127.215,0.299866,-0.77182,0.749069
2156.77,0.368927,-0.539322,0.63797
2186.317,0.380463,-0.61647,0.385864
2215.865,0.609879,-0.582184,0.379898
2245.411,0.309296,-0.511505,0.38681
2274.96,-0.026871,-0.610092,0.357849
2304.504,0.186615,-0.754211,0.495163
2334.048,0.493515,-0.856308,0.719849
2363.595,0.288712,-0.942505,0.354553
2393.141,0.175369,-1.111603,0.207825
2422.686,0.10495,-1.193787,0.024094
2452.231,0.132507,-1.157257,-0.028046
2481.778,0.243912,-1.186874,-0.005051
2511.32,0.211945,-1.164505,0.172333
2540.863,-0.091843,-1.205856,0.325256
2570.412,-0.093369,-1.107468,0.316681
2599.961,-0.114609,-0.946167,0.224045
2629.508,-0.155548,-0.920944,0.182877
2659.056,-0.124496,-0.935715,0.140228
2688.603,-0.084961,-0.942291,0.141678
2718.149,-0.077225,-0.956497,0.162262
2747.694,-0.116714,-0.976151,0.126923
2777.241,-0.102325,-0.947266,0.134277
2806.788,-0.042099,-1.011337,0.160385
2836.332,0.124908,-1.016647,0.120911
2865.88,-0.056229,-0.977081,0.13028
2895.428,-0.284424,-0.914841,0.123184
2924.974,-0.310501,-0.937073,0.061676
2954.515,-0.114594,-0.993195,0.038239
2984.066,0.064713,-1.020615,0.058685
3013.612,-0.292053,-0.970703,0.171875
3043.157,-0.365768,-0.924942,0.194031
3072.705,-0.172516,-1.054123,0.128098
3102.25,-0.050446,-0.919739,0.051315
3131.792,-0.480331,-0.749756,0.306412
3161.34,-0.679214,-0.885132,-0.137985
3190.884,0.714142,-1.029327,-0.066879
3220.427,0.294708,-1.251129,-0.757446
3249.969,-0.568878,-1.691071,0.837891
3279.511,0.16362,-1.745712,-0.300827
3309.05,0.155869,-0.402481,0.677521
3338.598,0.465393,-0.52356,0.418915
3368.142,0.339737,-1.023666,0.416061
3397.684,0.409988,-1.299042,0.457428
3427.225,0.638702,-1.468399,0.468597
3456.767,0.391251,-1.187775,0.473999
3486.293,0.162872,-0.83345,0.421921
3515.854,0.116776,-0.656509,0.439758
3545.401,0.184067,-0.596939,0.365738
3574.944,0.295456,-0.542053,0.279404
3604.488,0.315277,-0.435776,0.302505
3634.034,0.271118,-0.482925,0.291321
3663.562,0.094101,-0.836166,0.167419
3693.125,0.345734,-0.74939,0.74794
3722.668,-0.128662,-0.928986,0.671173
3752.209,-0.1035,-1.249451,0.22496
3781.754,0.109329,-1.483704,-0.192215
3811.299,-0.066025,-1.70816,-0.102325
3840.842,-0.105347,-1.515625,0.090881
3870.383,0.134521,-1.214813,0.159241
3899.928,0.054672,-1.032791,0.213928
3929.472,-0.109375,-0.995987,0.260864
3959.017,-0.048126,-0.958237,0.238571
3988.561,-0.000748,-0.982071,0.074265
4018.107,-0.091629,-0.955032,0.105804
4047.653,-0.121887,-0.930954,0.165527
4077.2,-0.042908,-0.96167,0.147522
4106.744,0.005356,-0.960632,0.242706
4136.289,-0.046341,-0.925171,0.230072
4165.832,-0.054504,-0.987381,0.188644
4195.374,0.040939,-0.962646,0.173553
4224.921,0.143158,-0.911057,0.286346
