time(ms),x_accel,y_accel,z_accel
0,-0.15239,-1.008377,0.009232
29.54,-0.134415,-0.975433,0.002151
59.083,-0.129318,-0.980377,0.008835
88.622,-0.148544,-0.980011,0.023361
118.162,-0.12587,-0.979126,-0.000183
147.701,-0.125549,-0.977875,-0.008987
177.244,-0.142319,-0.974884,0.0065
206.782,-0.130234,-0.983582,0.008453
236.322,-0.122955,-0.98761,0.017319
265.861,-0.123077,-0.984283,0.025131
295.4,-0.125076,-0.980164,0.008789
324.938,-0.124237,-0.977829,-0.002045
354.476,-0.118317,-0.972885,-0.017639
384.014,-0.124161,-0.98616,0.020691
413.551,-0.184006,-0.97142,0.026535
443.09,-0.098297,-0.985031,-0.016663
472.631,-0.122314,-0.981949,-0.000931
502.174,-0.123032,-0.97374,-0.008774
531.717,-0.124634,-0.975006,-0.00975
561.256,-0.142929,-0.975677,-0.006699
590.797,-0.13472,-0.981201,-0.00592
620.337,-0.173874,-0.984909,-0.010376
649.875,-0.187042,-0.957458,-0.029922
679.415,-0.165741,-0.969666,-0.051956
708.952,-0.212753,-0.956482,-0.027252
738.491,-0.17453,-0.97496,-0.02388
768.03,-0.13649,-0.988586,-0.022095
797.568,-0.120453,-0.991379,0.008881
827.108,-0.070969,-0.998093,0.022339
856.648,-0.043213,-0.990448,0.02037
886.192,-0.086014,-0.987,0.041916
915.733,-0.099396,-1.003586,0.0466
945.273,-0.095718,-1.005447,0.017761
974.815,-0.075089,-0.990448,0.012909
1004.357,-0.120346,-0.992325,0.004761
1033.902,-0.118011,-0.981888,0.020264
1063.441,-0.180161,-0.973145,-0.019608
1092.983,-0.198456,-0.992905,-0.001282
1122.517,-0.205032,-0.956619,-0.050903
1152.064,-0.163727,-0.9608,-0.029968
1181.605,-0.192566,-0.959763,-0.033707
1211.145,-0.174942,-0.960693,-0.055664
1240.685,-0.159592,-0.981415,-0.054825
1270.227,-0.124847,-0.989777,-0.029572
1299.76,-0.160477,-0.960968,0.018204
1329.304,-0.121323,-0.989548,0.004333
1358.844,-0.109222,-0.978653,0.014542
1388.382,-0.126556,-0.946426,-0.006775
1417.92,-0.080032,-0.955383,-0.036865
1447.427,-0.103867,-1.022293,-0.001678
1476.961,-0.125183,-0.960052,-0.002258
1506.507,-0.214539,-0.949341,-0.01149
1536.045,-0.061188,-0.971481,-0.141953
1565.586,-0.109116,-0.977081,-0.102051
1595.126,-0.00293,-0.930756,-0.041214
1624.666,-0.190979,-0.981003,0.085526
1654.205,-0.112366,-1.02298,0.060028
1683.751,-0.121475,-1.008072,0.107178
1713.291,-0.276123,-0.964325,0.02066
1742.831,-0.310928,-0.980682,-0.002304
1772.374,-0.259033,-0.947571,0.002075
1801.915,-0.3004,-0.951965,-0.04744
1831.427,-0.298615,-0.935745,0.005798
1860.993,-0.270645,-0.970947,0.037476
1890.533,-0.153656,-0.99498,0.007324
1920.072,-0.194672,-0.959579,0.082932
1949.61,-0.13623,-0.969635,0.059525
1979.149,-0.138947,-0.987976,0.032944
2008.691,-0.234573,-0.976608,0.071869
2038.233,-0.199478,-0.932129,0.06282
