time(ms),accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ
0,0.245056152,-0.546768188,-0.809997559
9.683,0.2394104,-0.542373657,-0.798843384
19.34,0.241149902,-0.527313232,-0.792205811
29.047,0.238418579,-0.518936157,-0.784683228
38.728,0.254516602,-0.504074097,-0.785919189
48.397,0.265930176,-0.486907959,-0.795578003
58.092,0.263397217,-0.477111816,-0.782363892
67.745,0.260726929,-0.476074219,-0.789489746
77.45,0.238342285,-0.488357544,-0.809890747
87.136,0.224136353,-0.49168396,-0.81741333
96.819,0.200485229,-0.526107788,-0.822555542
106.472,0.227981567,-0.509094238,-0.807998657
116.177,0.235992432,-0.473175049,-0.775650024
125.862,0.224578857,-0.499542236,-0.793045044
135.529,0.267868042,-0.470230103,-0.774475098
145.22,0.269851685,-0.451644897,-0.749557495
154.888,0.260925293,-0.431152344,-0.755691528
164.586,0.244750977,-0.444763184,-0.752792358
174.253,0.271026611,-0.436050415,-0.748458862
183.951,0.274368286,-0.437103271,-0.757400513
193.615,0.280654907,-0.460098267,-0.769454956
203.299,0.292648315,-0.452987671,-0.778945923
212.98,0.311065674,-0.443710327,-0.847045898
222.663,0.336532593,-0.419799805,-0.829193115
232.346,0.336166382,-0.426559448,-0.80708313
242.031,0.327728271,-0.450286865,-0.855300903
251.726,0.328826904,-0.451766968,-0.877075195
261.406,0.333831787,-0.440185547,-0.862609863
271.084,0.335769653,-0.441070557,-0.844055176
280.769,0.334106445,-0.441223145,-0.880249023
290.452,0.268890381,-0.411529541,-0.83732605
300.121,0.254989624,-0.355041504,-0.882293701
309.817,0.184326172,-0.346954346,-0.948898315
319.499,0.071563721,-0.350296021,-0.97845459
329.182,0.038330078,-0.351455688,-1.009933472
338.866,0.071853638,-0.371841431,-1.036071777
348.548,0.127059937,-0.383972168,-1.058822632
358.231,0.173995972,-0.37538147,-1.055847168
367.915,0.194076538,-0.331497192,-1.068008423
377.59,0.171539307,-0.247070313,-1.056655884
387.28,0.091201782,-0.135803223,-1.060272217
396.939,0.034698486,-0.086578369,-1.075744629
406.643,0.076461792,-0.1224823,-1.042205811
416.329,0.139526367,-0.088684082,-1.075912476
426.012,0.132156372,-0.073120117,-1.116516113
435.684,-0.013687134,0.067520142,-1.07774353
445.377,0.044647217,0.280914307,-1.079833984
455.059,0.19909668,0.194763184,-1.019607544
464.735,0.29750061,0.232376099,-0.950653076
474.423,0.320770264,0.451217651,-0.883590698
484.107,0.409591675,0.561752319,-0.798751831
493.789,0.566513062,0.573745728,-0.659790039
503.473,0.732788086,0.669708252,-0.626312256
513.155,0.715438843,0.766906738,-0.740875244
522.832,0.766677856,0.796340942,-0.665969849
532.519,0.828704834,0.835006714,-0.572540283
542.202,0.893859863,0.838409424,-0.549468994
551.885,0.929595947,0.780822754,-0.541763306
561.567,0.913192749,0.639434814,-0.553543091
571.222,0.916488647,0.542678833,-0.577056885
580.931,0.943222046,0.513916016,-0.540924072
590.613,1.019760132,0.477111816,-0.524551392
600.296,1.117523193,0.423370361,-0.54989624
609.978,1.166549683,0.298233032,-0.669998169
619.662,1.159957886,0.144729614,-0.700668335
629.343,1.128967285,0.007415771,-0.800003052
639.025,1.14503479,-0.202728271,-0.881622314
648.709,1.194213867,-0.30380249,-0.903930664
658.391,1.261016846,-0.317062378,-0.919204712
668.073,1.349014282,-0.323242188,-0.981567383
677.731,1.388717651,-0.425445557,-1.076690674
687.439,1.349456787,-0.470565796,-1.080596924
697.122,1.271606445,-0.519607544,-1.101776123
706.784,1.179489136,-0.519088745,-1.123306274
716.486,1.070953369,-0.465713501,-1.098892212
726.162,0.949951172,-0.375274658,-1.078521729
735.85,0.835083008,-0.320587158,-1.095672607
745.534,0.741821289,-0.291473389,-1.091522217
755.215,0.721496582,-0.227233887,-1.033401489
764.889,0.779312134,-0.102905273,-0.987060547
774.581,0.783401489,0.023880005,-0.850143433
784.263,0.733886719,0.397537231,-0.690826416
793.938,0.682785034,0.545837402,-0.627044678
803.628,0.653915405,0.481643677,-0.638092041
813.29,0.55329895,0.513458252,-0.477462769
822.993,0.494888306,0.598693848,-0.351364136
832.671,0.520004272,0.594726563,-0.195663452
842.337,0.577545166,0.643081665,-0.153411865
852.023,0.674026489,0.461044312,-0.043731689
861.706,0.781890869,0.517272949,0.076126099
871.395,0.811264038,0.719177246,0.228088379
881.072,0.817138672,0.841674805,0.257614136
890.754,0.80581665,0.715957642,0.278564453
900.444,0.806716919,0.567810059,0.147888184
910.135,0.796035767,0.493896484,0.030517578
919.819,0.842880249,0.455596924,-0.056442261
929.501,0.913131714,0.434661865,-0.030532837
939.105,1.00881958,0.516571045,-0.058135986
