time(ms),accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ
0,0.02722168,-0.385192871,-1.000930786
9.675,-0.004272461,-0.359024048,-0.956222534
19.361,-0.030975342,-0.324005127,-0.917221069
29.042,0.007217407,-0.273132324,-0.891983032
38.697,0.054000854,-0.279602051,-0.888336182
48.4,0.024459839,-0.29826355,-0.889022827
58.08,-0.008895874,-0.314071655,-0.846115112
67.75,-0.013458252,-0.392440796,-0.559707642
77.424,-0.008666992,-0.3409729,-0.717681885
87.119,-0.03729248,-0.321029663,-0.892623901
96.793,-0.050338745,-0.309951782,-1.029556274
106.479,-0.099578857,-0.284561157,-1.108459473
116.137,-0.063491821,-0.132049561,-1.091766357
125.838,-0.122772217,-0.048583984,-1.013839722
135.519,-0.173019409,-0.155136108,-0.906463623
145.173,-0.244400024,-0.193984985,-0.830841064
154.878,-0.232299805,-0.204284668,-0.774078369
164.558,-0.204437256,-0.178268433,-0.738586426
174.227,-0.201705933,-0.154785156,-0.709609985
183.919,-0.194992065,-0.131973267,-0.708465576
193.599,-0.20602417,-0.092300415,-0.717330933
203.249,-0.20211792,-0.054748535,-0.729522705
212.893,-0.196777344,-0.059524536,-0.755493164
222.572,-0.20539856,-0.097427368,-0.777877808
232.224,-0.198944092,-0.119857788,-0.812988281
241.933,-0.172531128,-0.148788452,-0.879226685
251.612,-0.150604248,-0.187576294,-0.917694092
261.276,-0.120437622,-0.217391968,-0.893203735
270.973,0.243927002,-0.363998413,-1.146759033
280.653,0.296478271,-0.417053223,-1.383911133
290.322,0.143112183,-0.337265015,-1.021377563
300.003,0.014892578,-0.322265625,-0.814193726
309.693,0.046478271,-0.273895264,-0.718780518
319.373,-0.008651733,-0.142807007,-0.630813599
329.028,-0.095748901,-0.016983032,-0.644622803
338.731,-0.090072632,0.053604126,-0.935287476
348.408,-0.124465942,-0.018218994,-0.994949341
358.088,-0.175064087,-0.099853516,-0.881408691
367.744,-0.191513062,-0.093322754,-0.887268066
377.432,-0.19291687,-0.045059204,-0.991149902
387.114,-0.153686523,-0.017379761,-0.95223999
396.796,-0.102966309,0.008087158,-0.851135254
