time (ms),x_accel,y_accel,z_accel
0,-0.144547,-0.987961,-0.13092
29.549,-0.109482,-0.974564,-0.157623
59.094,-0.121277,-0.976593,-0.148758
88.643,-0.120728,-0.977127,-0.154724
118.19,-0.131989,-0.975082,-0.153976
147.739,-0.106171,-0.964951,-0.163223
177.289,-0.123444,-0.954636,-0.16214
206.838,-0.137238,-0.968964,-0.152664
236.387,-0.126694,-0.963867,-0.164551
265.935,-0.120361,-0.975998,-0.182831
295.483,-0.082825,-0.981064,-0.175949
325.033,-0.115585,-0.970383,-0.172958
354.584,-0.124069,-0.9711,-0.143707
384.135,-0.112198,-0.970139,-0.144852
413.685,-0.106674,-0.97934,-0.170486
443.233,-0.106857,-0.974182,-0.176971
472.782,-0.11763,-0.965546,-0.1772
502.33,-0.120789,-0.96907,-0.173187
531.88,-0.123459,-0.965668,-0.148987
561.427,-0.122665,-0.968597,-0.159424
590.972,-0.134995,-0.969925,-0.136307
620.452,-0.156372,-0.962341,-0.151352
650.001,-0.13356,-0.95961,-0.175217
679.546,-0.127136,-0.970474,-0.189362
709.094,-0.134506,-0.982941,-0.178619
738.64,-0.135284,-0.973587,-0.144897
768.187,-0.122574,-0.977707,-0.143372
797.729,-0.115738,-0.972595,-0.080734
827.283,-0.117065,-1.001328,-0.133606
856.829,-0.120621,-0.958908,-0.171188
886.379,-0.183426,-0.951492,-0.208282
915.925,-0.221268,-0.934952,-0.209625
945.474,-0.126724,-0.957642,-0.160538
975.018,-0.062195,-0.983566,-0.085114
1004.575,-0.096191,-0.974792,-0.045624
1034.124,-0.123962,-0.970871,-0.089554
1063.668,-0.136871,-0.988174,-0.0849
1093.214,-0.123245,-0.985138,-0.059967
1122.76,-0.102905,-0.990433,-0.023178
1152.3,-0.046234,-0.99025,-0.051193
1181.848,-0.056412,-0.980255,0.029648
1211.393,-0.054489,-0.982834,-0.034164
1240.938,-0.011551,-1.022888,-0.001038
1270.486,0.016998,-0.992462,0.04805
1300.032,-0.001114,-0.996307,0.020721
1329.574,-0.115982,-0.972351,0.002304
1359.126,-0.134171,-0.957901,0.007401
1388.674,-0.122894,-1.021118,-0.025497
1418.224,-0.055298,-1.00412,-0.036438
1447.776,-0.088715,-0.978897,-0.020844
1477.324,-0.139603,-0.954514,0.04097
1506.872,-0.120529,-0.999527,-0.033142
1536.427,-0.093399,-0.926788,-0.052643
1565.975,-0.254318,-1.073547,-0.106049
1595.523,-0.099777,-0.920822,0.060287
1625.073,-0.047531,-0.944778,0.096451
1654.624,0.004639,-0.968521,0.193802
1684.152,0.005615,-0.960709,0.278778
1713.717,0.008667,-0.940643,0.402771
1743.265,0.054108,-1.120926,0.231201
1772.814,-0.109497,-1.04483,0.054474
1802.361,-0.192474,-0.855316,0.041672
1831.908,-0.121994,-0.952393,0.036926
1861.454,-0.123535,-0.88269,0.044617
1891.008,-0.15892,-0.920944,0.179794
1920.557,-0.1483,-0.876419,0.262711
1950.108,-0.121002,-0.917389,0.259583
1979.657,0.308029,-1.1633,0.20787
2009.204,0.336945,-1.014618,0.377136
2038.753,0.190903,-0.867584,0.526871
2068.301,0.377213,-1.427933,0.659012
2097.851,0.548309,-1.323196,1.15947
2127.397,2.064346,2.13295,0.588547
2156.944,0.502197,-1.766556,-0.990433
2186.493,0.647873,-0.151215,1.267838
2216.039,0.439026,0.379028,1.021988
2245.588,0.716019,0.049103,0.933853
2275.135,0.805725,-1.381363,0.991806
2304.68,0.71286,-1.369507,0.699402
2334.225,0.620819,-1.009247,0.730896
2363.768,0.445923,-0.630737,0.477768
2393.315,0.362869,-0.365479,0.419678
