time(ms),x_accel,y_accel,z_accel
0,-0.150787,-0.953705,-0.103119
29.543,-0.123718,-0.989304,-0.159302
59.087,-0.101166,-0.985092,-0.145859
88.63,-0.118591,-0.984909,-0.10997
118.175,-0.098587,-0.980713,-0.133102
147.717,-0.123245,-0.973877,-0.115967
177.262,-0.112549,-0.978821,-0.131561
206.808,-0.053146,-0.96991,-0.152084
236.352,-0.094391,-0.977676,-0.126328
265.895,-0.122253,-0.975021,-0.119843
295.436,-0.105698,-0.968964,-0.129059
324.978,-0.092346,-0.985596,-0.141937
354.521,-0.101212,-0.978455,-0.135941
384.064,-0.119568,-0.97789,-0.143829
413.608,-0.118469,-0.970871,-0.133789
443.148,-0.106201,-0.973785,-0.131836
472.697,-0.102951,-0.966263,-0.110901
502.238,-0.112442,-0.976898,-0.128677
531.785,-0.119125,-0.97673,-0.12561
561.327,-0.118195,-0.977448,-0.132965
590.873,-0.098129,-0.963623,-0.117935
620.412,-0.092957,-0.983032,-0.118668
649.958,-0.09024,-0.9767,-0.115143
679.502,-0.098694,-0.982132,-0.116135
709.045,-0.121185,-0.978653,-0.110901
738.591,-0.094925,-0.97493,-0.127121
768.134,-0.118576,-0.973999,-0.12384
797.675,-0.159851,-0.978241,-0.124115
827.226,-0.163742,-0.973419,-0.108322
856.771,-0.125687,-0.97171,-0.110779
886.314,-0.143173,-0.975754,-0.121887
915.858,-0.154129,-0.963623,-0.11821
945.4,-0.161697,-0.964966,-0.128723
974.94,-0.122406,-0.956436,-0.154068
1004.487,-0.137299,-0.978149,-0.135101
1034.03,-0.157944,-0.963669,-0.141525
1063.574,-0.153015,-0.978531,-0.146866
1093.12,-0.164169,-0.968185,-0.138229
1122.663,-0.161804,-0.983948,-0.110397
1152.196,-0.123474,-0.96994,-0.136169
1181.759,-0.121964,-0.978455,-0.168503
1211.305,-0.204788,-0.962296,-0.102127
1240.85,-0.220276,-0.949539,-0.11261
1270.394,-0.257111,-0.968124,-0.17128
1299.942,-0.181854,-0.946396,-0.112869
1329.488,-0.124847,-0.972229,-0.075546
1359.035,-0.12442,-0.995148,-0.056381
1388.582,-0.142899,-0.994171,-0.032608
1418.129,-0.2677,-0.951385,-0.063583
1447.673,-0.310349,-0.91011,-0.117432
1477.22,-0.274124,-0.96666,-0.149734
1506.767,-0.263214,-0.933609,-0.080032
1536.303,-0.205444,-0.941055,-0.03508
1565.859,-0.108215,-0.96608,-0.092773
1595.407,-0.119583,-1.024261,0.008759
1624.954,-0.162308,-0.919357,0.106857
1654.5,-0.078613,-1.065109,0.066422
1684.045,-0.09761,-1.009674,0.017685
1713.589,-0.158493,-0.944244,0.041656
1743.133,-0.119202,-1.011353,0.079971
1772.677,-0.086243,-0.972046,0.095383
1802.221,0.027283,-1.079605,0.055984
1831.765,0.09259,-1.000046,0.040268
1861.309,-0.010666,-1.045013,0.038956
1890.849,-0.164841,-0.966461,0.101395
1920.392,0.05275,-1.069763,0.081329
1949.934,-0.027252,-0.852493,0.149048
1979.476,-0.236526,-0.86499,-0.032272
2009.016,-0.267334,-0.901413,-0.209854
2038.554,-0.153183,-1.003708,-0.193558
2068.092,-0.198975,-0.951706,-0.110886
2097.634,-0.188828,-0.974487,-0.036362
2127.175,-0.167389,-1.013809,-0.081894
2156.717,-0.201874,-0.915588,-0.088013
2186.254,-0.214386,-0.966766,-0.099014
2215.8,-0.249496,-0.925766,-0.134933
2245.342,-0.220627,-0.980896,-0.136108
2274.887,-0.154984,-0.965393,-0.067657
2304.431,-0.16861,-0.973984,-0.086472
2333.977,-0.149124,-0.982391,-0.045074
2363.492,-0.110229,-1.008865,0.004837
2393.063,-0.162659,-0.970062,-0.004669
2422.605,-0.093399,-0.990219,0.031204
2452.144,-0.178604,-0.932693,0.005463
2481.684,-0.174377,-0.997742,-0.021683
