time(ms),x_accel,y_accel,z_accel
0,-0.137024,-0.94664,-0.173065
29.542,-0.083389,-0.979431,-0.210754
59.086,-0.104462,-0.964493,-0.200668
88.629,-0.117126,-0.972839,-0.207748
118.172,-0.096146,-0.960648,-0.20137
147.717,-0.090897,-0.955963,-0.192642
177.265,-0.074081,-0.964478,-0.200699
206.812,-0.088089,-0.961182,-0.202072
236.355,-0.10347,-0.967667,-0.206482
265.897,-0.10965,-0.959213,-0.205383
295.439,-0.113037,-0.970978,-0.208054
324.984,-0.120422,-0.963379,-0.208572
354.53,-0.092941,-0.97702,-0.219223
384.074,-0.065506,-0.969055,-0.189163
413.615,-0.098969,-0.955627,-0.197464
443.162,-0.10965,-0.973801,-0.202606
472.703,-0.112106,-0.964111,-0.207062
502.188,-0.108719,-0.968735,-0.211884
531.73,-0.09494,-0.962997,-0.187302
561.273,-0.084473,-0.974762,-0.176193
590.818,-0.082596,-0.957108,-0.165604
620.363,-0.103592,-0.96727,-0.190811
649.906,-0.105255,-0.9758,-0.19548
679.45,-0.120346,-0.963257,-0.186966
708.989,-0.099319,-0.982803,-0.210526
738.533,-0.12471,-0.967606,-0.175613
768.075,-0.121567,-0.96492,-0.210266
797.616,-0.115524,-0.957214,-0.189194
827.161,-0.110107,-0.967789,-0.188187
856.703,-0.120621,-0.972595,-0.149994
886.242,-0.097702,-0.966827,-0.163712
915.79,-0.080521,-0.971802,-0.172043
945.336,-0.113892,-0.962372,-0.17897
974.88,-0.18367,-0.966339,-0.204269
1004.425,-0.160782,-0.949371,-0.224472
1033.97,-0.141098,-0.970764,-0.161346
1063.511,-0.116669,-0.959793,-0.140961
1093.058,-0.12146,-0.97316,-0.109589
1122.6,-0.147659,-0.948959,-0.136978
1152.142,-0.231369,-0.966263,-0.143188
1181.684,-0.200851,-0.950165,-0.121841
1211.227,-0.050003,-1.014053,-0.116043
1240.762,0.018661,-0.995392,-0.046127
1270.309,-0.032349,-0.98056,-0.037537
