time(ms),accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ
0,0.410171509,0.348007202,-0.875213623
9.7,0.398681641,0.353134155,-0.886901855
19.38,0.387985229,0.364425659,-0.885131836
29.058,0.365737915,0.385406494,-0.87147522
38.75,0.347167969,0.415542603,-0.856262207
48.424,0.329727173,0.43069458,-0.858978271
58.108,0.321060181,0.423187256,-0.846496582
67.795,0.303100586,0.419647217,-0.840011597
77.475,0.302352905,0.417053223,-0.829223633
87.156,0.305236816,0.415893555,-0.811325073
96.838,0.303207397,0.405181885,-0.80569458
106.507,0.298233032,0.396621704,-0.79850769
116.2,0.29800415,0.404678345,-0.799087524
125.879,0.294815063,0.408065796,-0.803863525
135.559,0.272674561,0.413543701,-0.810165405
145.245,0.262405396,0.42137146,-0.813827515
154.927,0.254241943,0.429901123,-0.8253479
164.582,0.261260986,0.43977356,-0.846801758
174.286,0.283462524,0.437713623,-0.865463257
183.976,0.301773071,0.419754028,-0.84727478
193.653,0.313140869,0.407409668,-0.82484436
203.335,0.316665649,0.398834229,-0.815994263
213.023,0.324157715,0.389984131,-0.801773071
222.682,0.332992554,0.381118774,-0.814697266
232.682,0.330108643,0.375549316,-0.832901001
242.331,0.3228302,0.374160767,-0.831298828
252.017,0.319702148,0.384719849,-0.839736938
261.69,0.330062866,0.402740479,-0.865386963
271.367,0.341659546,0.40713501,-0.884277344
281.061,0.349243164,0.406005859,-0.876663208
290.744,0.358413696,0.410705566,-0.85736084
300.422,0.349502563,0.40083313,-0.849212646
310.094,0.341751099,0.398254395,-0.839996338
319.798,0.351959229,0.411514282,-0.822723389
329.487,0.349075317,0.411697388,-0.831634521
339.167,0.341751099,0.412750244,-0.836883545
348.836,0.34463501,0.417892456,-0.826568604
358.519,0.343002319,0.417648315,-0.812515259
368.199,0.341567993,0.411865234,-0.793945313
377.887,0.334014893,0.405960083,-0.775360107
387.57,0.327056885,0.411895752,-0.773300171
397.252,0.326797485,0.406860352,-0.768707275
406.953,0.336761475,0.406219482,-0.760528564
416.626,0.362045288,0.410919189,-0.753952026
426.312,0.359802246,0.423065186,-0.736206055
435.985,0.325302124,0.42980957,-0.712203979
445.69,0.289855957,0.432525635,-0.690872192
455.374,0.245895386,0.528793335,-0.696899414
465.057,0.274902344,0.566421509,-0.691268921
474.74,0.321380615,0.561569214,-0.656707764
484.419,0.307937622,0.551742554,-0.634338379
494.108,0.259368896,0.551040649,-0.632049561
503.789,0.274749756,0.555801392,-0.638916016
513.476,0.322402954,0.553848267,-0.638717651
523.16,0.383529663,0.527038574,-0.66633606
532.841,0.43661499,0.500656128,-0.695648193
542.528,0.473007202,0.502182007,-0.752868652
552.213,0.485656738,0.536804199,-0.749191284
561.881,0.459564209,0.533874512,-0.75239563
571.583,0.447494507,0.504943848,-0.778961182
581.268,0.444747925,0.497711182,-0.81262207
590.938,0.481384277,0.489089966,-0.796783447
600.636,0.524871826,0.473068237,-0.760101318
610.32,0.535797119,0.493560791,-0.757400513
620.003,0.509963989,0.524719238,-0.733428955
629.686,0.475875854,0.480575562,-0.701675415
639.367,0.437942505,0.510101318,-0.687530518
649.052,0.499313354,0.615890503,-0.716064453
658.735,0.586242676,0.669036865,-0.745925903
668.401,0.6615448,0.702529907,-0.724349976
678.101,0.681655884,0.732131958,-0.679336548
687.781,0.660888672,0.730651855,-0.625076294
697.453,0.62512207,0.720504761,-0.558044434
707.152,0.577545166,0.704406738,-0.509933472
716.836,0.557403564,0.693435669,-0.424575806
726.513,0.531417847,0.684997559,-0.340667725
736.205,0.512283325,0.638931274,-0.256561279
745.889,0.506271362,0.533889771,-0.178741455
755.565,0.425704956,0.589202881,-0.143920898
765.256,0.310943604,0.545974731,-0.241714478
774.939,0.155685425,0.568206787,-0.338256836
