time (ms),accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ
0,0.177780151,-0.259429932,-0.953521729
9.688,0.197601318,-0.258666992,-0.991012573
19.382,0.191009521,-0.260604858,-1.027603149
29.047,0.144699097,-0.327865601,-0.99798584
38.723,0.113265991,-0.319259644,-1.004333496
48.402,0.105865479,-0.301208496,-1.019042969
58.101,0.107833862,-0.296569824,-1.031524658
67.775,0.114334106,-0.294372559,-1.05632019
77.459,0.115219116,-0.282043457,-1.062347412
87.124,0.113601685,-0.269195557,-1.044128418
96.815,0.098968506,-0.222564697,-1.00920105
106.494,0.064880371,-0.185836792,-0.998046875
116.156,0.04826355,-0.184844971,-1.000320435
125.852,0.061752319,-0.199203491,-1.032669067
135.53,-0.001937866,-0.220001221,-1.017791748
145.19,-0.00352478,-0.227783203,-0.957260132
154.887,-0.017807007,-0.253234863,-0.91267395
164.566,-0.061584473,-0.284515381,-0.897201538
174.231,-0.084243774,-0.305038452,-0.881744385
183.925,-0.110397339,-0.300506592,-0.8253479
193.603,-0.132247925,-0.278442383,-0.746170044
203.281,-0.125305176,-0.234008789,-0.695861816
212.958,-0.123123169,-0.195022583,-0.703216553
222.632,-0.094345093,-0.16468811,-0.723632813
232.314,-0.061355591,-0.132232666,-0.752685547
241.992,-0.040908813,-0.129745483,-0.772171021
251.642,-0.021697998,-0.133911133,-0.773361206
261.348,-0.024078369,-0.149429321,-0.762954712
271.021,-0.024276733,-0.171844482,-0.758041382
280.696,-0.008804321,-0.183532715,-0.756286621
290.383,0.016998291,-0.178665161,-0.764312744
300.056,0.027542114,-0.176467896,-0.776168823
309.722,0.047897339,-0.158691406,-0.793731689
319.415,0.066421509,-0.125823975,-0.815750122
329.092,0.068069458,-0.098266602,-0.831222534
338.761,0.053131104,-0.063430786,-0.844421387
348.425,0.101501465,-0.063919067,-0.848800659
358.125,0.076843262,-0.03137207,-0.806167603
367.802,0.074691772,-0.005264282,-0.768127441
377.481,0.082077026,-0.003875732,-0.741363525
387.153,0.102478027,-0.024856567,-0.72366333
