time (ms),accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ
0,0.028991699,-0.100189209,-0.986785889
9.688,0.019882202,-0.129364014,-0.935577393
19.382,-0.002334595,-0.116241455,-0.997467041
29.047,-0.022216797,-0.115921021,-1.023178101
38.723,0.001220703,-0.140716553,-1.03692627
48.402,0.004699707,-0.167221069,-1.051086426
58.101,-0.003814697,-0.197280884,-1.058242798
67.775,-0.031082153,-0.225036621,-1.115737915
77.459,-0.078933716,-0.206970215,-1.157546997
87.124,-0.050491333,-0.164520264,-1.10144043
96.815,0.0131073,-0.157562256,-1.027099609
106.494,0.001342773,-0.180496216,-0.959976196
116.156,-0.049194336,-0.188827515,-0.880325317
125.852,-0.079544067,-0.151260376,-0.840606689
135.53,-0.085708618,-0.122055054,-0.850204468
145.19,-0.080169678,-0.140258789,-0.867645264
154.887,-0.043029785,-0.175308228,-0.896362305
164.566,-0.025527954,-0.203170776,-0.95803833
174.231,-0.020278931,-0.217910767,-0.994003296
183.925,-0.03062439,-0.217651367,-1.005355835
193.603,-0.042663574,-0.217712402,-1.005203247
203.281,-0.064544678,-0.219909668,-0.984069824
212.958,-0.063079834,-0.223861694,-0.946807861
222.632,-0.06741333,-0.214813232,-0.926513672
232.314,-0.075469971,-0.186752319,-0.93800354
241.992,-0.067138672,-0.192932129,-0.945098877
251.642,-0.053100586,-0.205459595,-0.937835693
261.348,-0.057830811,-0.195739746,-0.923248291
271.021,-0.06741333,-0.1847229,-0.907928467
280.696,-0.081604004,-0.12701416,-1.029174805
290.383,-0.071655273,-0.143218994,-1.077987671
300.056,-0.010391235,-0.147720337,-0.966018677
309.722,0.00302124,-0.154129028,-0.90914917
319.415,-0.032302856,-0.208328247,-0.892166138
329.092,-0.082672119,-0.265182495,-0.883529663
338.761,-0.125518799,-0.258666992,-0.80329895
348.425,-0.166213989,-0.17376709,-0.709075928
358.125,-0.168533325,-0.078704834,-0.652313232
367.802,-0.136169434,-0.024047852,-0.638824463
377.481,-0.062194824,-0.015426636,-0.653564453
387.153,0.028381348,-0.038314819,-0.691741943
396.838,0.057281494,-0.015548706,-0.761138916
406.514,0.058044434,0.021011353,-0.836593628
416.17,0.041702271,0.007034302,-0.852172852
425.869,0.015365601,-0.030334473,-0.806167603
435.548,-0.005706787,-0.058731079,-0.724761963
445.227,-0.001846313,-0.088790894,-0.664230347
454.901,-0.021453857,-0.117141724,-0.643432617
464.567,0.000106812,-0.127029419,-0.579864502
474.248,0.043197632,-0.140899658,-0.521530151
483.937,0.081726074,-0.161911011,-0.556991577
493.608,0.100357056,-0.161087036,-0.647369385
503.289,0.108291626,-0.172775269,-0.717987061
512.97,0.092926025,-0.196792603,-0.766418457
522.65,0.083114624,-0.18447876,-0.800521851
532.331,0.068939209,-0.143814087,-0.828323364
542.028,0.091033936,-0.088317871,-0.86567688
551.703,0.122848511,-0.068191528,-0.937637329
561.388,0.175430298,-0.060821533,-1.014572144
571.067,0.203262329,-0.132339478,-1.087768555
580.725,0.174560547,-0.192703247,-1.119430542
590.427,0.107833862,-0.15574646,-1.090637207
600.105,0.034484863,-0.060119629,-1.070907593
609.757,0.016189575,0.009567261,-1.092407227
619.462,0.015258789,0.019180298,-1.134292603
629.141,0.033340454,-0.005218506,-1.166870117
638.812,0.051071167,-0.027893066,-1.157272339
648.498,0.039596558,-0.14302063,-1.128311157
658.179,-0.052932739,-0.1068573,-0.982757568
667.86,-0.141174316,0.040420532,-0.960891724
677.532,-0.172225952,0.090820313,-0.952972412
687.219,-0.159820557,0.111984253,-0.93939209
696.898,-0.177429199,0.154388428,-0.995513916
706.577,-0.179199219,0.166534424,-1.082595825
716.254,-0.153625488,0.150283813,-1.091690063
725.932,-0.100875854,0.054168701,-0.974868774
735.611,-0.089309692,-0.070205688,-0.881072998
745.276,-0.141891479,-0.155593872,-0.861557007
754.95,-0.23260498,-0.187423706,-0.885559082
764.649,-0.291442871,-0.070510864,-0.942230225
774.32,-0.347503662,0.153884888,-0.995300293
784.005,-0.392608643,0.255523682,-1.002166748
793.658,-0.55871582,0.434188843,-1.023391724
803.332,-0.606536865,0.397537231,-0.947143555
813.035,-0.528152466,0.230743408,-0.93649292
822.7,-0.411697388,0.062942505,-0.958709717
832.398,-0.338272095,-0.009063721,-0.940948486
842.078,-0.338500977,-0.025253296,-0.90675354
851.738,-0.357894897,-0.004760742,-0.945983887
861.437,-0.369491577,0.048095703,-1.025878906
871.115,-0.473327637,0.091522217,-1.025177002
880.775,-0.632888794,0.126190186,-1.011047363
890.464,-0.787322998,0.16998291,-0.988525391
900.153,-0.850830078,0.138275146,-1.000396729
909.827,-0.795700073,0.060943604,-0.973297119
919.485,-0.683303833,-0.014907837,-0.916168213
929.188,-0.622848511,-0.052444458,-0.833084106
938.856,-0.609054565,-0.047454834,-0.748504639
948.534,-0.654647827,-0.042053223,-0.668121338
958.198,-0.813140869,-0.069702148,-0.688430786
967.894,-0.966171265,-0.046798706,-0.678756714
977.58,-1.021118164,-0.001907349,-0.634918213
987.237,-1.011001587,0.026687622,-0.646957397
996.917,-0.989227295,0.014801025,-0.664352417
1006.612,-1.029693604,-0.024963379,-0.705841064
1016.276,-0.981903076,0.005905151,-0.643005371
1025.952,-0.943099976,0.000167847,-0.616195679
1035.647,-0.938430786,-0.007598877,-0.60723877
1045.325,-0.958602905,-0.003616333,-0.559448242
1055.005,-1.030914307,0.058837891,-0.504043579
1064.682,-1.05796814,0.007125854,-0.489013672
1074.333,-1.005783081,-0.10774231,-0.53012085
1084.037,-0.937744141,-0.108093262,-0.557434082
1093.715,-0.907806396,-0.089141846,-0.528182983
1103.385,-0.814163208,-0.061035156,-0.519607544
1113.072,-0.812637329,-0.068145752,-0.503356934
1122.749,-0.842224121,-0.102035522,-0.422729492
1132.422,-0.901992798,-0.128845215,-0.326766968
1142.105,-0.955581665,-0.123153687,-0.216293335
1151.783,-0.985473633,-0.098724365,-0.140228271
1161.377625,-1.013900757,-0.136688232,-0.029541016
1171.036625,-1.009124756,-0.204040527,0.034820557
1180.705625,-1.05128479,-0.252380371,0.089950562
1190.412625,-1.108688354,-0.258529663,0.137908936
1200.091625,-1.168685913,-0.235519409,0.196044922
1209.758625,-1.230163574,-0.182022095,0.258132935
1219.384625,-1.290130615,-0.105834961,0.305145264
1229.062625,-1.337600708,-0.032775879,0.341903687
1238.733625,-1.344421387,0.026931763,0.347686768
1248.419625,-1.327758789,0.0050354,0.361816406
1258.081625,-1.359405518,-0.062240601,0.409957886
1267.755625,-1.340576172,-0.023590088,0.435928345
1277.451625,-1.291992188,0.074325562,0.414520264
1287.104625,-1.290725708,0.096206665,0.335708618
1296.803625,-1.305603027,0.091690063,0.268814087
1306.482625,-1.339157104,0.115692139,0.220352173
1316.161625,-1.356719971,0.178314209,0.14050293
1325.829625,-1.348892212,0.217666626,0.044403076
1335.514625,-1.350830078,0.209396362,-0.039550781
1345.190625,-1.388458252,0.131439209,-0.135803223
1354.869625,-1.239257813,0.201690674,-0.075302124
1364.547625,-1.209106445,0.270751953,-0.163284302
1374.201625,-1.262832642,0.268676758,-0.264648438
1383.898625,-1.274475098,0.268234253,-0.307876587
1393.579625,-1.223480225,0.277114868,-0.335357666
1403.252625,-1.136444092,0.244110107,-0.349472046
1412.928625,-1.157562256,0.273040771,-0.222885132
1422.615625,-1.12928772,0.296401978,-0.219696045
1432.277625,-1.054016113,0.297729492,-0.264526367
1441.950625,-0.975280762,0.294067383,-0.285507202
1451.630625,-0.933898926,0.271438599,-0.396026611
1461.298625,-0.876571655,0.350845337,-0.366317749
1470.989625,-0.923110962,0.390731812,-0.232315063
1480.668625,-0.952758789,0.341171265,-0.321884155
1490.346625,-0.856628418,0.34979248,-0.331954956
1500.040625,-0.789886475,0.307296753,-0.258209229
1509.718625,-0.792617798,0.16305542,-0.13482666
1519.395625,-0.765563965,0.114974976,-0.121505737
1529.073625,-0.761123657,0.137161255,-0.075271606
1538.721625,-0.731018066,0.192901611,-0.053787231
1548.429625,-0.676818848,0.269439697,-0.093475342
1558.107625,-0.722213745,0.220947266,-0.035949707
1567.774625,-0.761123657,0.131072998,-0.084075928
1577.464625,-0.787460327,0.141281128,-0.1277771
1587.136625,-0.839767456,0.212692261,-0.116210938
1596.794625,-0.869430542,0.214004517,-0.161239624
1606.499625,-0.879379272,0.191360474,-0.188980103
1616.179625,-0.834396362,0.168792725,-0.288726807
1625.849625,-0.863769531,0.173294067,-0.35748291
1635.534625,-1.010696411,0.256515503,-0.190795898
1645.212625,-0.951416016,0.238693237,-0.294998169
1654.889625,-0.932037354,0.235717773,-0.190292358
1664.545625,-0.938644409,0.173095703,-0.154403687
1674.246625,-0.916168213,0.153152466,-0.161071777
1683.924625,-0.909896851,0.158126831,-0.102279663
1693.603625,-0.931228638,0.184387207,-0.107574463
1703.277625,-0.986251831,0.190841675,-0.172668457
1712.958625,-1.068374634,0.174102783,-0.184371948
1722.632625,-1.067825317,0.189956665,-0.094482422
1732.293625,-0.942962646,0.071746826,-0.013748169
1741.996625,-0.887512207,0.048995972,0.122390747
1751.673625,-0.871765137,0.086288452,0.11227417
1761.348625,-0.858291626,0.14465332,-0.063201904
1771.028625,-0.865524292,0.160842896,-0.188964844
1780.705625,-0.795150757,0.113754272,-0.24810791
1790.368625,-0.681472778,0.055496216,-0.220153809
1800.061625,-0.654266357,0.032546997,-0.173934937
1809.740625,-0.644805908,0.007629395,-0.178512573
1819.417625,-0.671768188,0.012786865,-0.206451416
1829.096625,-0.731216431,0.007400513,-0.204772949
1838.770625,-0.834197998,0.059173584,-0.183609009
1848.452625,-0.882919312,0.077850342,-0.188552856
1858.129625,-0.910217285,0.062332153,-0.176574707
1867.785625,-0.886657715,0.009124756,-0.034194946
1877.489625,-0.857940674,-0.00920105,0.054382324
1887.140625,-0.83644104,0.014755249,0.060958862
1896.845625,-0.846115112,0.080062866,0.043884277
1906.520625,-0.818466187,0.225646973,0.012237549
1916.192625,-0.742095947,0.268249512,-0.035522461
1925.867625,-0.687026978,0.300125122,-0.114501953
1935.541625,-0.698898315,0.391098022,-0.200271606
1945.220625,-0.780639648,0.426834106,-0.276504517
1954.899625,-1.221908569,0.445541382,-0.279418945
1964.579625,-1.727554321,0.565658569,-0.22857666
1974.258625,-1.434188843,0.359283447,-0.288543701
1983.937625,-1.188613892,0.136749268,-0.403594971
1993.632625,-1.077575684,0.200561523,-0.324874878
2003.290625,-1.047668457,0.453811646,-0.183654785
2012.992625,-0.978256226,0.499008179,-0.121734619
2022.672625,-0.86177063,0.4009552,-0.061920166
2032.343625,-0.842834473,0.540023804,0.017730713
2042.028625,-0.563812256,0.573394775,-0.025268555
2051.706625,-0.839874268,0.815155029,-0.220230103
2061.360625,-0.776000977,0.54699707,-0.361221313
2071.039625,-0.672866821,0.636505127,-0.343292236
2080.743625,-0.599105835,0.758407593,-0.287384033
2090.415625,-0.576293945,0.767486572,-0.21031189
2100.101625,-0.541030884,0.707931519,-0.169494629
2109.782625,-0.577255249,0.719924927,-0.158798218
2119.455625,-0.639541626,0.72467041,-0.177978516
2129.138625,-0.646835327,0.696060181,-0.18460083
2138.788625,-0.650543213,0.665222168,-0.154205322
2148.496625,-0.653991699,0.673675537,-0.120513916
2158.175625,-0.650436401,0.735290527,-0.08631897
2167.833625,-0.662063599,0.759918213,-0.086242676
2177.531625,-0.562820435,0.831481934,-0.063400269
2187.207625,-0.510681152,0.91192627,-0.019195557
2196.864625,-0.457305908,0.94418335,-0.104629517
2206.562625,-0.46321106,0.981689453,-0.244064331
2216.239625,-0.460876465,1.020584106,-0.328765869
2225.906625,-0.487792969,1.003570557,-0.338989258
2235.593625,-0.511688232,0.978118896,-0.335189819
2245.269625,-0.504211426,0.975387573,-0.315505981
2254.939625,-0.452011108,1.014205933,-0.307052612
2264.623625,-0.331481934,1.081375122,-0.322387695
2274.296625,-0.324829102,1.114852905,-0.27230835
2283.977625,-0.343933105,1.062576294,-0.188751221
2293.655625,-0.327346802,1.020889282,-0.175735474
2303.308625,-0.373046875,0.950820923,-0.17010498
2313.009625,-0.276672363,0.777877808,-0.181350708
2322.679625,-0.348953247,0.813034058,-0.204879761
2332.361625,-0.478668213,0.698074341,-0.216293335
2342.037625,-0.57460022,0.504425049,-0.179046631
2351.714625,-0.604537964,0.538848877,-0.047668457
2361.383625,-0.577423096,0.557907104,-0.033737183
2371.067625,-0.515533447,0.611602783,-0.080841064
2380.744625,-0.408416748,0.696624756,-0.094421387
2390.410625,-0.302185059,0.700027466,-0.066772461
2400.080625,-0.247665405,0.674621582,-0.091522217
2409.773625,-0.262893677,0.582565308,-0.191223145
2419.428625,-0.274963379,0.492584229,-0.33303833
