time(ms),accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ
0,-0.018600464,-0.977813721,-0.08026123
30.067,-0.005096436,-0.975845337,-0.077850342
60.165,-0.014190674,-0.984100342,-0.080337524
90.242,-0.029846191,-0.979827881,-0.076889038
120.32,0.000915527,-0.988708496,-0.078186035
150.385,-0.024917603,-0.983886719,-0.065826416
180.481,-0.020050049,-0.976898193,-0.075027466
210.558,-0.029006958,-0.980300903,-0.079742432
240.666,-0.03427124,-0.973526001,-0.076538086
270.751,-0.029602051,-0.97883606,-0.076095581
300.811,-0.036849976,-0.976730347,-0.091812134
330.917,-0.034790039,-0.971130371,-0.066970825
361.001,-0.027374268,-0.981536865,-0.054885864
391.088,-0.017440796,-0.990249634,-0.040679932
421.172,-0.022445679,-0.973403931,-0.04574585
451.256,-0.036865234,-0.970916748,-0.022232056
481.34,-0.068786621,-0.969299316,-0.034240723
511.427,0.002975464,-0.966888428,-0.03578186
541.509,-0.003723145,-0.973373413,-0.044052124
571.595,0.001861572,-0.95324707,-0.044219971
601.683,0.05355835,-0.964706421,-0.071640015
631.77,0.11227417,-0.989730835,-0.087036133
661.859,0.099060059,-0.995666504,0.026397705
691.941,-0.001815796,-0.994873047,0.152908325
722.03,0.017211914,-0.989440918,0.139770508
752.113,0.10345459,-0.981933594,0.081085205
782.173,0.093704224,-0.969818115,0.062210083
812.287,0.081970215,-0.97644043,0.090499878
842.374,0.088851929,-0.965118408,0.074249268
872.46,0.049301147,-0.952728271,0.084213257
902.542,0.045211792,-0.94720459,0.110580444
932.625,0.113113403,-0.965454102,0.17539978
962.684,0.110458374,-0.947357178,0.178482056
992.795,0.113418579,-0.965133667,0.18939209
1022.873,0.226287842,-1.01399231,0.133743286
1052.947,0.251022339,-1.011169434,0.198043823
1083.031,0.336044312,-0.997207642,0.199356079
1113.124,0.385437012,-1.046890259,0.125839233
1143.199,0.329421997,-1.127227783,0.119888306
1173.302,0.181213379,-1.071762085,0.201904297
1203.385,0.116638184,-1.83946228,0.172485352
1233.47,-0.047195435,-1.560791016,0.123779297
1263.527,-0.242355347,-1.794387817,0.1302948
1293.615,0.406982422,-2.16456604,0.140884399
1323.701,-0.409759521,-1.506988525,0.471755981
1353.784,-0.013412476,-1.208969116,0.393936157
1383.864,0.467147827,-0.81137085,0.283050537
1413.949,0.463348389,-0.579284668,0.161880493
1444.023,0.047531128,-0.42666626,0.11895752
1474.111,-0.207305908,-0.035705566,0.134963989
1504.193,-0.179550171,-0.19303894,0.097854614
1534.275,0.001602173,-0.299316406,0.17855835
1564.368,0.042739868,-0.52003479,0.122695923
1594.44,0.082672119,-0.762023926,0.145111084
1624.525,0.160903931,-1.231231689,0.210769653
1654.61,0.710800171,-1.615753174,0.314102173
